species,gene_family,n_sequences,omega,boot_median,ci_lo,ci_hi,n_pairs,n_dS0,n_valid,n_genomes_present,n_multicopy_genomes,species_input_sha256,method_version
L. plantarum,ruvA,31,0.0456,0.0437,0.0,0.1054,465,179,286,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,ruvB,31,0.019,0.018,0.0,0.0383,465,95,370,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,ruvB_1,31,0.061,0.061,0.0381,0.0912,465,34,431,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,ssbA_1~~~ssb~~~ssbA_2,4,0.119,0.119,0.0738,0.3439,6,0,6,4,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,ssbA_2~~~ssbA,31,0.078,0.078,0.0449,0.0963,465,285,180,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,trxA_1,31,0.075,0.0762,0.0428,0.1037,465,306,159,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,trxA_2~~~trxA_3,31,0.1081,0.1081,0.0757,0.1508,465,85,380,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,trxA_3,31,0.0101,0.0102,0.0,0.0328,465,224,241,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,trxB,31,0.0378,0.0363,0.0041,0.0719,465,143,322,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,uvrA_1,31,0.0145,0.014,0.0039,0.0253,465,28,437,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,uvrA_5,31,0.1272,0.1267,0.0949,0.1769,465,33,432,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,uvrB,31,0.006,0.0059,0.0,0.0134,465,22,443,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,uvrC,31,0.0093,0.0093,0.0055,0.014,465,62,403,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. plantarum,ytpP,31,0.0983,0.0977,0.0437,0.1603,465,235,230,31,0,451d45719f0b5542bad7e9c9487b1adacc75e3cb880a0b439af4b333ff4a6e70,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,dnaK,31,0.0041,0.004,0.0,0.0089,465,69,396,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,group_1158,10,0.2381,0.2372,0.2093,0.2971,45,12,33,10,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,group_1844,5,0.0982,0.0982,0.0794,0.1612,10,1,9,5,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ligA_1~~~ligA_2,16,0.2695,0.2606,0.1321,0.4777,120,25,95,16,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,ligA~~~ligA_1,31,0.0257,0.0257,0.0223,0.0294,465,99,366,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,mutL,31,0.0704,0.0711,0.0529,0.0853,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,mutS_2,31,0.0022,0.0022,0.0008,0.0035,465,60,405,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,nox_2,31,0.0438,0.0436,0.0299,0.0603,465,117,348,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,nox_2~~~nox_1,19,0.045,0.045,0.026,0.0694,171,59,112,19,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,nox_3,31,0.0418,0.0422,0.0284,0.0563,465,110,355,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,nth~~~nth_1,31,0.0878,0.0876,0.0783,0.1005,465,107,358,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
L. rhamnosus,nth~~~nth_2,31,0.051,0.0514,0.0403,0.0637,465,106,359,31,0,3de4529df5220291b27aa956a3a76efca5e56a23be173a31b78d6654af79f3ed,ng86_singlecopy_genomebootstrap_v3_cohortbound
